KG id;SPARQL availability;RDF dump availability;VoID availability;License (metadata);License machine redeable (query)
_data.odw.tw;False;False;VoID file offline;https://creativecommons.org/licenses/by-sa/3.0/;-
_data1.odw.tw;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
_data2.odw.tw;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
_https:data.bioontology.orgontologiesBOFdownloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf;False;True;VoID file offline;http://www.opendefinition.org/licenses/gfdl;-
0080-3626;False;True;VoID file offline;https://opendefinition.org/licenses/against-drm;-
10.12041geodata.290864223.ver1.db_;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
11;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
12323;False;False;VoID file offline;https://creativecommons.org/licenses/by/3.0/;-
2000-us-census-rdf;False;False;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
2001-spanish-census-to-rdf;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
a-collection-of-papers-for-lrec2014-and-related-workshops;False;False;VoID file absent;http://www.opendefinition.org/licenses/cc-by-sa;-
A1;False;True;VoID file offline;https://opendefinition.org/licenses/fal;-
abc;False;False;VoID file offline;http://www.opendefinition.org/licenses/odc-odbl;-
ABC;False;False;VoID file offline;http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/;-
abhay_intro;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
abs-linked-data;False;False;VoID file absent;http://www.opendefinition.org/licenses/cc-zero;-
acadonto;False;False;VoID file absent;-;-
acorn-sat;False;True;VoID file offline;-;-
addgene;False;False;VoID file offline;-;-
aegp-spanish-textile-and-clothing-association;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
aemet;True;True;VoID file offline;-;Copyright 2009 - 2010 W3C.
agrinepaldata;False;False;VoID file absent;http://creativecommons.org/licenses/by-nc/2.0/;-
agris;False;True;VoID file offline;http://creativecommons.org/licenses/by-nc/2.0/;-
agrovoc;True;True;VoID file offline;https://creativecommons.org/licenses/by/3.0/;CC-BY 4.0
AIM;True;True;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
AISHE;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
akash;False;False;VoID file offline;http://www.opendefinition.org/licenses/odc-odbl;-
aliada-scanbit-net;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-zero;-
allie-abbreviation-and-long-form-database-in-life-science;True;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;http://creativecommons.org/licenses/by/2.1/jp/
alpino-rdf;False;False;VoID file absent;http://www.opendefinition.org/licenses/cc-by-sa;-
Altawil;False;False;VoID file offline;https://opendefinition.org/licenses/fal;-
Amer_Nejma;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
amsterdam-museum-as-edm-lod;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by-sa;-
Anime;False;True;VoID file offline;https://opendefinition.org/licenses/fal;-
anno;False;True;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
AntiqueCarsCollection;False;False;VoID file offline;http://www.opendefinition.org/licenses/cc-by;-
